size_m2,location,year_built,num_rooms,near_main_road,water_available,electricity_available,record_year,rent_price_rwf
91,Kimironko,2017,5,0,0,1,2022,402700
75,Kacyiru,1996,6,0,1,0,2024,622073
395,Remera,2002,6,1,0,1,2025,1659865
180,Kimihurura,2016,1,1,1,1,2025,985790
322,Kanombe,2010,4,0,1,1,2022,590903
70,Kimironko,2003,1,0,1,1,2022,146655
355,Kicukiro,1998,3,1,1,0,2022,640332
199,Kimihurura,2005,4,1,1,1,2026,1463070
90,Kimihurura,2021,5,1,1,1,2023,1099098
356,Nyarutarama,2021,1,1,1,1,2023,1643909
35,Kimihurura,2020,5,1,1,1,2022,787059
209,Kacyiru,2008,1,1,0,1,2026,794267
193,Remera,2011,4,1,1,1,2026,1218556
323,Gacuriro,2014,4,1,1,1,2025,2162447
364,Gisozi,2024,2,1,1,1,2022,884885
365,Kiyovu,2001,3,1,1,1,2021,1203716
75,Kimironko,2010,4,0,1,1,2021,209834
374,Gacuriro,2014,2,1,1,1,2022,1350719
99,Gisozi,2010,4,1,1,0,2026,480056
324,Kacyiru,2023,1,1,1,1,2026,1309958
138,Kiyovu,2001,5,1,1,1,2026,1508677
227,Gisozi,2006,4,0,1,1,2025,596086
271,Kicukiro,2014,6,0,1,1,2022,648790
229,Remera,2021,6,0,1,1,2025,1253165
348,Kimihurura,1995,2,1,1,0,2026,1508091
104,Remera,2013,6,1,1,1,2025,1101476
318,Nyarutarama,2021,4,1,1,1,2023,1890276
91,Nyarutarama,2001,3,1,1,1,2026,1171155
246,Gacuriro,2014,2,1,1,1,2025,1584293
321,Gacuriro,2016,3,1,1,1,2021,1122667
284,Kicukiro,2014,2,1,1,1,2023,584782
334,Gisozi,2007,1,0,1,1,2021,444680
291,Remera,2003,6,1,0,1,2022,1037906
56,Kimironko,1998,2,1,1,1,2022,348170
221,Kimironko,2020,5,1,1,1,2021,766483
344,Kiyovu,1999,6,0,1,1,2025,2015927
96,Kicukiro,2012,5,1,1,1,2025,842608
